symbol,name,sector,industry
ALOKINDS,Alok Industries Limited,,
ALPA,Alpa Laboratories Limited,,
ALPEXSOLAR,Alpex Solar Limited,,
ALPHAGEO,Alphageo (India) Limited,,
ALPINETEX,Alpine Texworld Limited,,
ALPSINDUS,Alps Industries Limited,,
ALUWIND,Aluwind Infra-Tech Limited,,
AMAGI,Amagi Media Labs Limited,,
AMANTA,Amanta Healthcare Limited,,
AMBAAUTO,Amba Auto Sales and Services Limited,,
AMBALALSA,Ambalal Sarabhai Enterprises Limited,,
AMBANIORGO,Ambani Orgochem Limited,,
AMBER,Amber Enterprises India Limited,,
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,,
AMBIKCO,Ambika Cotton Mills Limited,,
AMBUJACEM,Ambuja Cements Limited,,
AMCL,ANB Metal Cast Limited,,
AMDIND,AMD Industries Limited,,
AMEYA,Ameya Precision Engineers Limited,,
AMIABLE,Amiable Logistics (India) Limited,,
AMJLAND,AMJ Land Holdings Limited,,
AMNPLST,Amines & Plasticizers Limited,,
AMRUTANJAN,Amrutanjan Health Care Limited,,
ANANDRATHI,Anand Rathi Wealth Limited,,
ANANTAM,Anantam Highways Trust,,
ANANTRAJ,Anant Raj Limited,,
ANDHRAPAP,Andhra Paper Limited,,
ANDHRSUGAR,The Andhra Sugars Limited,,
ANGELONE,Angel One Limited,,
ANIKINDS,Anik Industries Limited,,
ANKITMETAL,Ankit Metal & Power Limited,,
ANLON,Anlon Technology Solutions Limited,,
ANMOL,Anmol India Limited,,
ANNAPURNA,Annapurna Swadisht Limited,,
ANONDITA,Anondita Medicare Limited,,
ANSALAPI,Ansal Properties & Infrastructure Limited,,
ANTELOPUS,Antelopus Selan Energy Limited,,
ANTGRAPHIC,Antarctica Limited,,
ANTHEM,Anthem Biosciences Limited,,
ANUHPHR,Anuh Pharma Limited,,
ANUP,The Anup Engineering Limited,,
ANURAS,Anupam Rasayan India Ltd,,
ANYA,Anya Polytech & Fertilizers Limited,,
APARINDS,APAR Industries Limited,,
APCL,Anjani Portland Cement Limited,,
APCOTEXIND,Apcotex Industries Limited,,
APEX,Apex Frozen Foods Limited,,
APEXECO,Apex Ecotech Limited,,
APLAPOLLO,APL Apollo Tubes Limited,,
APLLTD,Alembic Pharmaceuticals Limited,,
APOLLO,Apollo Micro Systems Limited,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,,
APOLLOPIPE,Apollo Pipes Limited,,
APOLLOTYRE,Apollo Tyres Limited,,
APOLSINHOT,Apollo Sindoori Hotels Limited,,
APRAMEYA,Aprameya Engineering Limited,,
APS,Australian Premium Solar (India) Limited,,
APSISAERO,Apsis Aerocom Limited,,
APTECHT,Aptech Limited,,
APTUS,Aptus Value Housing Finance India Limited,,
AQYLON,Aqylon Nexus Limited,,
ARABIAN,Arabian Petroleum Limited,,
ARCHIDPLY,Archidply Industries Limited,,
ARCHIES,Archies Limited,,
ARCIIL,ARC Insulation & Insulators Limited,,
ARENTERP,Rajdarshan Industries Limited,,
ARE_M,Amara Raja Energy & Mobility Limited,,
ARFIN,Arfin India Limited,,
ARHAM,Arham Technologies Limited,,
ARIES,Aries Agro Limited,,
ARIHANT,Arihant Foundations & Housing Limited,,
ARIHANTACA,Arihant Academy Limited,,
ARIHANTCAP,Arihant Capital Markets Limited,,
ARIHANTSUP,Arihant Superstructures Limited,,
ARIS,Arisinfra Solutions Limited,,
ARISTO,Aristo Bio-Tech and Lifescience Limited,,
ARKADE,Arkade Developers Limited,,
ARMANFIN,Arman Financial Services Limited,,
ARMOUR,Armour Security (India). Ltd.,,
AROGRANITE,Aro Granite Industries Limited,,
ARROWGREEN,Arrow Greentech Limited,,
ARSHIYA,Arshiya Limited,,
ARSSBL,Anand Rathi Share and Stock Brokers Limited,,
ARSSINFRA,ARSS Infrastructure Projects Limited,,
ARTEMISMED,Artemis Medicare Services Limited,,
ARTNIRMAN,Art Nirman Limited,,
ARUNAYA,Arunaya Organics Limited,,
ARVEE,Arvee Laboratories (India) Ltd.,,
ARVIND,Arvind Limited,,
ARVINDFASN,Arvind Fashions Limited,,
ARVINDPORT,Arvind Port and Infra Limited,,
ARVSMART,Arvind SmartSpaces Limited,,
ASAHIINDIA,Asahi India Glass Limited,,
ASAHISONG,Asahi Songwon Colors Limited,,
ASAL,Automotive Stampings and Assemblies Limited,,
ASALCBR,Associated Alcohols & Breweries Limited,,
ASCOM,Ascom Leasing & Investments Limited,,
ASHALOG,Ashapura Logistics Limited,,
ASHAPURMIN,Ashapura Minechem Limited,,
ASHIANA,Ashiana Housing Limited,,
ASHIKAG,Ashika Global Securities Limited,,
ASHIMASYN,Ashima Limited,,
ASHOKA,Ashoka Buildcon Limited,,
ASHOKAMET,Ashoka Metcast Limited,,
ASHOKLEY,Ashok Leyland Limited,,
ASHWINI,Ashwini Container Movers Limited,,
ASIANENE,Asian Energy Services Limited,,
ASIANHOTNR,Asian Hotels (North) Limited,,
ASIANPAINT,Asian Paints Limited,,
ASIANTILES,Asian Granito India Limited,,
ASKAUTOLTD,ASK Automotive Limited,,
ASMS,Avio Smart Market Stack Limited,,
ASPINWALL,Aspinwall and Company Limited,,
ASPIRE,Aspire & Innovative Advertising Limited,,
ASTAR,Asian Star Company Limited,,
ASTEC,Astec LifeSciences Limited,,
ASTERDM,Aster DM Quality Care Limited,,
ASTRAL,Astral Limited,,
ASTRAMICRO,Astra Microwave Products Limited,,
ASTRAZEN,AstraZeneca Pharma India Limited,,
ASTRON,Astron Paper & Board Mill Limited,,
ATALREAL,Atal Realtech Limited,,
ATAM,Atam Valves Limited,,
ATCENERGY,ATC Energies System Limited,,
ATGL,Adani Total Gas Limited,,
ATHERENERG,Ather Energy Limited,,
ATL,Allcargo Terminals Limited,,
ATLANTAA,Atlantaa Limited,,
ATLANTAELE,Atlanta Electricals Limited,,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,,
ATLPP,Allcargo Terminals Limited,,
ATMASTCO,Atmastco Limited,,
ATUL,Atul Ltd,,
ATULAUTO,Atul Auto Limited,,
AUBANK,AU Small Finance Bank Limited,,
AURIGROW,Auri Grow India Limited,,
AURIONPRO,Aurionpro Solutions Limited,,
AUROIMPEX,Auro Impex & Chemicals Limited,,
AUROPHARMA,Aurobindo Pharma Limited,,
AURUM,Aurum PropTech Limited,,
AURUS,Aurus Gem Corporation Limited,,
AUSL,Aditya Ultra Steel Limited,,
AUSOMENT,AuSom Enterprise Limited,,
AUTOAXLES,Automotive Axles Limited,,
AUTOIND,Autoline Industries Limited,,
AVADHSUGAR,Avadh Sugar & Energy Limited,,
AVAILFC,Available Finance Limited,,
AVALON,Avalon Technologies Limited,,
AVANA,Avana Electrosystems Limited,,
AVANTEL,Avantel Limited,,
AVANTIFEED,Avanti Feeds Limited,,
AVATAR,ASL Industries Limited,,
AVG,AVG Logistics Limited,,
AVIANSH,Avi Ansh Textile Limited,,
AVIENCE,Avience Biomedicals Limited,,
AVL,Aditya Vision Limited,,
AVONMORE,Avonmore Capital & Management Services Limited,,
AVPINFRA,AVP Infracon Limited,,
AVROIND,Avro India Limited,,
AVSL,AVSL Industries Limited,,
AVTNPL,AVT Natural Products Limited,,
AWFIS,Awfis Space Solutions Limited,,
AWHCL,Antony Waste Handling Cell Limited,,
AWL,AWL Agri Business Limited,,
AXISBANK,Axis Bank Limited,,
AXISCADES,AXISCADES Technologies Limited,,
AXITA,Axita Cotton Limited,,
AYE,Aye Finance Limited,,
AYMSYNTEX,AYM Syntex Limited,,
AZAD,Azad Engineering Limited,,
BABAFP,Baba Food Processing (India) Limited,,
BAFNAPH,Bafna Pharmaceuticals Limited,,
BAGDIGITAL,B.A.G. Convergence Limited,,
BAGFILMS,B.A.G. Films and Media Limited,,
BAGMANE,Bagmane Prime Office REIT,,
BAHETI,Baheti Recycling Industries Limited,,
BAIDFIN,Baid Finserv Limited,,
BAJAJCON,Bajaj Consumer Care Limited,,
BAJAJELEC,Bajaj Electricals Limited,,
BAJAJFINSV,Bajaj Finserv Ltd.,,
BAJAJHCARE,Bajaj HealthCare Limited,,
BAJAJHFL,Bajaj Housing Finance Limited,,
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,,
BAJAJINDEF,Indef Manufacturing Limited,,
BAJAJST,Bajaj Steel Industries Limited,,
BAJAJ_AUTO,Bajaj Auto Limited,,
BAJEL,Bajel Projects Limited,,
BAJFINANCE,Bajaj Finance Limited,,
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,,
BALAJIPHOS,Balaji Phosphates Limited,,
BALAJITELE,Balaji Telefilms Limited,,
BALAMINES,Balaji Amines Limited,,
BALAXI,Balaxi Pharmaceuticals Limited,,
BALCO,Solve Plastic Products Limited,,
BALKRISHNA,Balkrishna Paper Mills Limited,,
BALKRISIND,Balkrishna Industries Limited,,
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,,
BALPHARMA,Bal Pharma Limited,,
BALRAMCHIN,Balrampur Chini Mills Limited,,
BALUFORGE,Balu Forge Industries Limited,,
BANARBEADS,Banaras Beads Limited,,
BANARISUG,Bannari Amman Sugars Limited,,
BANCOINDIA,Banco Products (India) Limited,,
BANDHANBNK,Bandhan Bank Limited,,
BANG,Bang Overseas Limited,,
BANKA,Banka BioLoo Limited,,
BANKBARODA,Bank of Baroda Limited,,
BANKINDIA,Bank of India Limited,,
BANSALWIRE,Bansal Wire Industries Limited,,
BANSWRAS,Banswara Syntex Limited,,
BARFLEX,Barflex Polyfilms Limited,,
BASF,BASF India Limited,,
BASILIC,Basilic Fly Studio Limited,,
BASML,Bannari Amman Spinning Mills Ltd,,
BATAINDIA,Bata India Limited,,
BATLIBOI,Batliboi Limited,,
BAWEJA,Baweja Studios Limited,,
BAYERCROP,Bayer CropScience Limited,,
BBL,Bharat Bijlee Limited,,
BBOX,Black Box Limited,,
BBTC,The Bombay Burmah Trading Corporation Limited,,
BBTCL,B&B Triplewall Containers Limited,,
BCG,Brightcom Group Limited,,
BCLIND,BCL Industries Limited,,
BCONCEPTS,Brand Concepts Limited,,
BCPL,BCPL Railway Infrastructure Limited,,
BDL,Bharat Dynamics Limited,,
BEACON,Beacon Trusteeship Limited,,
BEARDSELL,Beardsell Limited,,
BECTORFOOD,Mrs. Bectors Food Specialities Limited,,
BEDMUTHA,Bedmutha Industries Limited,,
BEEKAY,Beekay Steel Industries Limited,,
BEL,Bharat Electronics Limited,,
BELLACASA,Bella Casa Fashion & Retail Limited,,
BELRISE,Belrise Industries Limited,,
BEML,BEML Limited,,
BENGALASM,Bengal & Assam Company Limited,,
BEPL,Bhansali Engineering Polymers Limited,,
BERGEPAINT,Berger Paints India Limited,,
BESTAGRO,Best Agrolife Limited,,
BETA,Beta Drugs Limited,,
BEWLTD,BEW Engineering Limited,,
BFINVEST,BF Investment Limited,,
BFUTILITIE,BF Utilities Limited,,
BGRENERGY,BGR Energy Systems Limited,,
BHADORA,Bhadora Industries Limited,,
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,
BHAGERIA,Bhageria Industries Limited,,
BHAGYANGR,Bhagyanagar India Limited,,
BHANDARI,Bhandari Hosiery Exports Limited,,
BHARATCOAL,Bharat Coking Coal Limited,,
BHARATFORG,Bharat Forge Limited,,
BHARATGEAR,Bharat Gears Limited,,
BHARATRAS,Bharat Rasayan Limited,,
BHARATSE,Bharat Seats Limited,,
BHARATWIRE,Bharat Wire Ropes Limited,,
BHARTIARTL,Bharti Airtel Limited,,
BHARTIHEXA,Bharti Hexacom Limited,,
BHEL,Bharat Heavy Electricals Limited,,
BI,Bilcare Limited,,
BIGBLOC,Bigbloc Construction Limited,,
BIKAJI,Bikaji Foods International Limited,,
BIKEWO,Bikewo Green Tech Limited,,
BIL,Bhartiya International Ltd.,,
BILVYAPAR,BIL Vyapar Limited,,
BIMETAL,Bimetal Bearings Limited,,
BIOCON,Biocon Limited,,
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,,
BIOPOL,Biopol Chemicals Limited,,
BIRDYS,Grill Splendour Services Limited,,
BIRET,Brookfield India Real Estate Trust,,
BIRLACABLE,Birla Cable Limited,,
BIRLACORPN,Birla Corporation Limited,,
BIRLAMONEY,Aditya Birla Money Limited,,
BIRLANU,BirlaNu Limited,,
BIRLAPREC,Birla Precision Technologies Limited,,
BLACKBUCK,BlackBuck Limited,,
BLACKROSE,Black Rose Industries Limited,,
BLAL,BEML Land Assets Limited,,
BLBLIMITED,BLB Limited,,
BLIL,Balmer Lawrie Investments Limited,,
BLISSGVS,Bliss GVS Pharma Limited,,
BLKASHYAP,B.L. Kashyap and Sons Limited,,
BLS,BLS International Services Limited,,
BLSE,BLS E-Services Limited,,
BLUECHIP,Blue Chip India Limited,,
BLUECOAST,Blue Coast Hotels Limited,,
BLUEDART,Blue Dart Express Limited,,
BLUEJET,Blue Jet Healthcare Limited,,
BLUEPEBBLE,Blue Pebble Limited,,
BLUESTARCO,Blue Star Limited,,
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,,
BLUEWATER,Blue Water Logistics Limited,,
BLUSPRING,Bluspring Enterprises Limited,,
BMETRICS,Bombay Metrics Supply Chain Limited,,
BMLL,Bio Medica Laboratories Limited,,
BMWVENTLTD,BMW Ventures Limited,,
BNAGROCHEM,BN Agrochem Limited,,
BNALTD,B & A Limited,,
BODALCHEM,Bodal Chemicals Limited,,
BOHRAIND,Bohra Industries Limited,,
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,,
BONLON,Bonlon Industries Limited,,
BORANA,Borana Weaves Limited,,
BOROLTD,Borosil Limited,,
BORORENEW,Borosil Renewables Limited,,
BOROSCI,Borosil Scientific Limited,,
BOSCHLTD,Bosch Limited,,
BOSS,Boss Packaging Solutions Limited,,
BPCL,Bharat Petroleum Corporation Limited,,
BPL,BPL Limited,,
BRACEPORT,Brace Port Logistics Limited,,
BRANDMAN,Brandman Retail Limited,,
BRIGADE,Brigade Enterprises Limited,,
BRIGHOTEL,Brigade Hotel Ventures Limited,,
BRITANNIA,Britannia Industries Limited,,
BRNL,Bharat Road Network Limited,,
BROOKS,Brooks Laboratories Limited,,
BSE,BSE Limited,,
BSHSL,Bombay Super Hybrid Seeds Limited,,
BSL,BSL Limited,,
BSOFT,Birlasoft Limited,,
BTML,Bodhi Tree Multimedia Limited,,
BTTL,Bhilwara Technical Textiles Limited,,
BUILDPRO,Shankara Buildpro Limited,,
BULKCORP,Bulkcorp International Limited,,
BURNPUR,Burnpur Cement Limited,,
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,,
BVCL,Barak Valley Cements Limited,,
BYKE,The Byke Hospitality Limited,,
C2C,C2C Advanced Systems Limited,,
CADSYS,Cadsys (India) Limited,,
CALSOFT,California Software Company Limited,,
CALSOFTPP,California Software Company Limited,,
CAMLINFINE,Camlin Fine Sciences Limited,,
CAMPUS,Campus Activewear Limited,,
CAMS,Computer Age Management Services Limited,,
CANARYS,Canarys Automations Limited,,
CANBK,Canara Bank,,
CANFINHOME,Can Fin Homes Limited,,
CANHLIFE,Canara HSBC Life Insurance Company Limited,,
CANTABIL,Cantabil Retail India Limited,,
CAPACITE,Capacit'e Infraprojects Limited,,
CAPILLARY,Capillary Technologies India Limited,,
CAPINVIT,Capital Infra Trust,,
CAPITALSFB,Capital Small Finance Bank Limited,,
CAPLIPOINT,Caplin Point Laboratories Limited,,
CAPTRUST,Capital Trust Limited,,
CARBORUNIV,Carborundum Universal Limited,,
CARERATING,CARE Ratings Limited,,
CARRARO,Carraro India Limited,,
CARTRADE,CarTrade Tech Limited,,
CARYSIL,Carysil Limited,,
CASTROLIND,Castrol India Limited,,
CBAZAAR,Net Avenue Technologies Limited,,
CCAVENUE,AvenuesAI Limited,,
CCCL,Consolidated Construction Consortium Limited,,
CCHHL,Country Club Hospitality & Holidays Limited,,
CCL,CCL Products (India) Limited,,
CDSL,Central Depository Services (India) Limited,,
CEATLTD,CEAT Limited,,
CEDAAR,Cedaar Textiles Limited,,
CEIGALL,Ceigall India Limited,,
CEINSYS,Ceinsys Tech Limited,,
CELEBRITY,Celebrity Fashions Limited,,
CELLECOR,Cellecor Gadgets Limited,,
CELLO,Cello World Limited,,
CELLPOINT,Cell Point (India) Limited,,
CEMPRO,Cemindia Projects Limited,,
CENTENKA,Century Enka Limited,,
CENTEXT,Century Extrusions Limited,,
CENTRALBK,Central Bank of India,,
CENTRUM,Centrum Capital Limited,,
CENTUM,Centum Electronics Limited,,
CENTURYPLY,Century Plyboards (India) Limited,,
CERA,Cera Sanitaryware Limited,,
CEREBRAINT,Cerebra Integrated Technologies Limited,,
CESC,CESC Limited,,
CEWATER,Concord Enviro Systems Limited,,
CGCL,Capri Global Capital Limited,,
CGPOWER,CG Power and Industrial Solutions Limited,,
CGRAPHICS,Creative Graphics Solutions India Limited,,
CHALET,Chalet Hotels Limited,,
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,,
CHAMUNDA,Chamunda Electrical Limited,,
CHANDAN,Chandan Healthcare Limited,,
CHAVDA,Chavda Infra Limited,,
CHEMBOND,Chembond Material Technologies Limited,,
CHEMBONDCH,Chembond Chemicals Limited,,
CHEMCON,Chemcon Speciality Chemicals Limited,,
CHEMFAB,Chemfab Alkalis Limited,,
CHEMPLASTS,Chemplast Sanmar Limited,,
CHENNPETRO,Chennai Petroleum Corporation Limited,,
CHETANA,Chetana Education Limited,,
CHEVIOT,Cheviot Company Limited,,
CHOICEIN,Choice International Limited,,
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,,
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,,
CIEINDIA,CIE Automotive India Limited,,
CIFL,Capital India Finance Limited,,
CIGNITITEC,Cigniti Technologies Limited,,
CINELINE,Cineline India Limited,,
CINEVISTA,Cinevista Limited,,
CIPLA,Cipla Limited,,
CITIUSINVT,Citius TransNet Investment Trust,,
CKKRETAIL,C K K Retail Mart Limited,,
CLASSICEIL,Classic Electrodes (India) Limited,,
CLAYCRAFT,Clay Craft India Limited,,
CLCIND,CLC Industries Limited,,
CLEAN,Clean Science and Technology Limited,,
CLEANMAX,Clean Max Enviro Energy Solutions Limited,,
CLEDUCATE,CL Educate Limited,,
CLSEL,Chaman Lal Setia Exports Ltd.,,
CLSL,Crop Life Science Limited,,
CMLL,Caliber Mining and Logistics Limited,,
CMNL,Chaman Metallics Limited,,
CMPDI,Central Mine Planning & Design Institute Limited,,
CMRGREEN,CMR Green Technologies Limited,,
CMRSL,Cyber Media Research & Services Limited,,
CMSINFO,CMS Info Systems Limited,,
CNL,Creative Newtech Limited,,
COALINDIA,Coal India Limited,,
COASTCORP,Coastal Corporation Limited,,
COCHINSHIP,Cochin Shipyard Limited,,
COCKERILL,John Cockerill India Limited,,
COFFEEDAY,Coffee Day Enterprises Limited,,
COFORGE,Coforge Limited,,
COHANCE,Cohance Lifesciences Limited,,
COLPAL,Colgate-Palmolive (India) Limited,,
COMFINTE,Comfort Intech Limited,,
COMMITTED,Committed Cargo Care Limited,,
COMPINFO,Compuage Infocom Limited,,
COMPUSOFT,Compucom Software Limited,,
COMSYN,Commercial Syn Bags Limited,,
CONCOR,Container Corporation of India Limited,,
CONCORDBIO,Concord Biotech Limited,,
CONFIPET,Confidence Petroleum India Limited,,
CONNPLEX,Connplex Cinemas Limited,,
CONSOFINVT,Consolidated Finvest & Holdings Limited,,
CONTI,Continental Seeds and Chemicals Limited,,
CONTROLPR,Control Print Limited,,
COOLCAPS,Cool Caps Industries Limited,,
CORALFINAC,Coral India Finance and Housing Limited,,
CORDELIA,Waterways Leisure Tourism Limited,,
CORDSCABLE,Cords Cable Industries Limited,,
COROMANDEL,Coromandel International Limited,,
CORONA,CORONA Remedies Limited,,
COSMOFIRST,Cosmo First Limited,,
COUNCODOS,Country Condo's Limited,,
CPCAP,CP Capital Limited,,
CPEDU,Career Point Edutech Ltd.,,
CPL,Captain Polyplast Limited,,
CPPLUS,Aditya Infotech Limited,,
CPS,CPS Shapers Limited,,
CRAFTSMAN,Craftsman Automation Limited,,
CRAMC,Canara Robeco Asset Management Company Limited,,
CRAYONS,Crayons Advertising Limited,,
CREATIVEYE,Creative Eye Limited,,
CREDITACC,CreditAccess Grameen Limited,,
CREST,Crest Ventures Limited,,
CRISIL,CRISIL Limited,,
CRIZAC,Crizac Limited,,
CROMPTON,Crompton Greaves Consumer Electricals Limited,,
CROWN,Crown Lifters Limited,,
CSBBANK,CSB Bank Limited,,
CSLFINANCE,CSL Finance Limited,,
CSM,CSM Technologies Limited,,
CSSL,Clear Secured Services Limited,,
CTE,Cambridge Technology Enterprises Limited,,
CUB,City Union Bank Limited,,
CUBEXTUB,Cubex Tubings Limited,,
CUDML,Cash UR Drive Marketing Limited,,
CUMMINSIND,Cummins India Limited,,
CUPID,Cupid Limited,,
CURAA,Cura Technologies Limited,,
CURIS,Curis Lifesciences Limited,,
CURRENT,Current Infraprojects Limited,,
CYBERMEDIA,Cyber Media (India) Limited,,
CYBERTECH,CyberTech Systems and Software Limited,,
CYIENT,Cyient Limited,,
CYIENTDLM,Cyient DLM Limited,,
DABUR,Dabur India Limited,,
DAICHI,Dai-ichi Karkaria Limited,,
DALBHARAT,Dalmia Bharat Limited,,
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,,
DAMCAPITAL,DAM Capital Advisors Limited,,
DAMODARIND,Damodar Industries Limited,,
DANGEE,Dangee Dums Limited,,
